Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",109.280000,-118.720000,-90.000000,top
"C2","10uF","C_0805_2012Metric",163.252500,-119.850000,0.000000,top
"C3","10uF","C_0805_2012Metric",109.280000,-82.660000,-90.000000,top
"C4","10uF","C_0805_2012Metric",135.470000,-83.480000,0.000000,top
"C5","1uF","C_0805_2012Metric",166.780000,-118.590000,-90.000000,top
"C6","22uF","C_0805_2012Metric",173.050000,-120.615000,180.000000,top
"C7","22uF","C_0805_2012Metric",177.610000,-116.185000,-90.000000,top
"C8","470pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",160.160000,-116.610000,-90.000000,top
"D1","BAV99","SOT-23",147.820000,-116.547500,-90.000000,top
"D2","BAV99","SOT-23",143.962500,-116.490000,-90.000000,top
"D3","BAV99","SOT-23",140.240000,-116.547500,-90.000000,top
"D4","BAV99","SOT-23",136.342500,-116.545700,-90.000000,top
"J1","705430001","MOLEX_705430001",167.960000,-125.440000,180.000000,top
"J2","705430001","MOLEX_705430001",157.660000,-125.440000,180.000000,top
"J3","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical",178.280000,-81.860000,-90.000000,top
"J4","Conn_02x10_Odd_Even","IDC-Header_2x10_P2.54mm_Vertical",143.890000,-76.250000,90.000000,top
"J5","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",163.455000,-83.000000,-90.000000,top
"J6","Conn_02x06_Odd_Even","IDC-Header_2x06_P2.54mm_Vertical",117.810000,-76.250000,90.000000,top
"J7","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",117.830000,-83.000000,90.000000,top
"J8","Conn_02x06_Odd_Even","IDC-Header_2x06_P2.54mm_Vertical",130.400000,-123.250000,-90.000000,top
"J9","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",130.420000,-116.510000,-90.000000,top
"J10","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",147.800000,-125.125000,-90.000000,top
"J11","Conn_01x09_Pin","PinHeader_1x09_P2.54mm_Vertical",106.080000,-89.840000,0.000000,top
"J12","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",111.480000,-108.900000,180.000000,top
"J13","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",176.670000,-111.550000,-90.000000,top
"JP1","Jumper_3_Bridged12","PinHeader_1x03_P2.54mm_Vertical",154.710000,-119.015000,180.000000,top
"L1","10uH","L_Bourns-SRN4018",174.000000,-116.775000,-90.000000,top
"R1","100R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",170.700000,-116.775000,-90.000000,top
"R2","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",176.670000,-88.850000,-90.000000,top
"R3","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",174.130000,-88.850000,-90.000000,top
"R4","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",171.590000,-88.850000,-90.000000,top
"R5","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",169.050000,-88.850000,-90.000000,top
"R6","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",163.970000,-88.850000,-90.000000,top
"R7","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",161.430000,-88.850000,-90.000000,top
"R8","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",158.890000,-88.850000,-90.000000,top
"R9","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",156.350000,-88.850000,-90.000000,top
"R10","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",153.810000,-88.850000,-90.000000,top
"R11","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",151.270000,-88.850000,-90.000000,top
"R12","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",148.730000,-88.850000,-90.000000,top
"R13","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.190000,-88.850000,-90.000000,top
"R14","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",145.260000,-110.100000,0.000000,top
"R15","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.942700,-89.300000,180.000000,top
"R16","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.590000,-89.300000,0.000000,top
"R17","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.940000,-110.040000,180.000000,top
"R18","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.580000,-110.040000,0.000000,top
"R19","100R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",147.800000,-120.387500,90.000000,top
"R20","100R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",145.260000,-120.387500,90.000000,top
"R21","100R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.720000,-120.387500,90.000000,top
"R22","100R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",140.180000,-120.387500,90.000000,top
"U2","Teensy4.1","Teensy41",150.000000,-100.000000,180.000000,top
"U3","MIC5219-3.3YM5","SOT-23-5",163.440000,-116.690000,180.000000,top
